group7136-2, hypothetical protein
group19049, peptidase S41
group19048, hypothetical protein
group5982, hypothetical protein
group5983, hypothetical protein
group17915, hypothetical protein
group17914, hypothetical protein
group17913, hypothetical protein
group17912, short-chain dehydrogenase/reductase SDR
group5984, hypothetical protein
group5985, dehydrogenase
group5988, hypothetical protein
group5989, adenylate/guanylate cyclase with TPR repeats
group8103, transposase IS3/IS911 family protein
group17919, putative signal transduction histidine kinase
group17918, two component transcriptional regulator%2C LuxR family
group14794, hypothetical protein
group14795, hypothetical protein
group11544, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group11545, periplasmic solute binding protein
group14790, ACS59142.1 nitrogenase cofactor biosynthesis protein NifB (plasmid)
group14791, transcriptional regulator%2C LysR family
group11540, 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase
group14793, hypothetical protein
group14798, hypothetical protein
group14799, hypothetical protein
group11548, ABC-3 protein
group11549, hypothetical protein
group1159, aminotransferase class IV
group1158, Alcohol dehydrogenase zinc-binding domain protein
group10499, hypothetical protein
group10498, Xylose isomerase domain protein TIM barrel
group1151, efflux transporter%2C RND family%2C MFP subunit
group1150, hypothetical protein
group1153, ACR family transporter
group1152, hemolysin secretion protein D
group1155, transcriptional regulator%2C TetR family
group1154, hypothetical protein
group1157, Xylose isomerase domain protein TIM barrel
group1156, hypothetical protein
group478, tRNA synthetase class II (G H P and S)
group479, ATP phosphoribosyltransferase
group476, hypothetical protein
group477, histidyl-tRNA synthetase
group474, hypothetical protein
group475, hypothetical protein
group472, Haloacid dehalogenase domain protein hydrolase
group473, aldo/keto reductase
group470, DNA-3-methyladenine glycosylase I
group471, hypothetical protein
group17265, hypothetical protein
group17264, hypothetical protein
group17267, hypothetical protein
group17266, hypothetical protein
group17261, hypothetical protein
group17260, hypothetical protein
group17263, hypothetical protein
group17262, hypothetical protein
group17269, hypothetical protein
group17268, hypothetical protein
group16798, CopG family transcriptional regulator
group16799, hypothetical protein
group16796, short-chain dehydrogenase
group16797, NAD-dependent glycerol-3-phosphate dehydrogenase
group16794, oxidoreductase
group16795, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group16792, ABC transporter permease
group16793, ABC transporter substrate-binding protein
group16790, glycerol 1-phosphate dehydrogenase (L-arabinose utilization protein) protein
group16791, glycerol-3-phosphate dehydrogenase
group20443, hypothetical protein
group20442, hypothetical protein
group20441, hypothetical protein
group20440, putative metalloprotease inhibitor (transcriptional regulator) protein
group20447, hypothetical protein
group20446, helix-turn-helix domain protein
group20445, hypothetical protein
group20444, hypothetical protein
group20449, hypothetical protein
group20448, hypothetical protein
group6279, binding-protein-dependent transport systems inner membrane component
group6278, sugar ABC transporter permease
group6271, hypothetical protein
group6270, MarR family transcriptional regulator
group6273, hypothetical protein
group6272, hypothetical protein
group6275, transcriptional regulator%2C LacI family
group6274, adenylate/guanylate cyclase with TPR repeats
group6277, extracellular solute-binding protein family 1
group6276, Xylose isomerase domain protein TIM barrel
group14920-3, extracellular solute-binding protein family 1
group16138, hypothetical protein
group16139, hypothetical protein
group16132, hypothetical protein
group16133, hypothetical protein
group16130, hypothetical protein
group16131, Lysine exporter protein (LYSE/YGGA)
group16136, hypothetical protein
group16137, Alcohol dehydrogenase zinc-binding domain protein
group16134, hypothetical protein
group16135, hypothetical protein
group6904-2, hypothetical protein
group13562, hypothetical protein
group13563, ACS59127.1 acyltransferase 3 (plasmid) [Rhizobium leguminosarum bv. trifolii]
group13560, hypothetical protein
group13561, hypothetical protein
group13566, hypothetical protein
group13567, glycosyl transferase family 2
group13564, hypothetical protein
group9538, short-chain dehydrogenase/reductase SDR
group9537, alpha/beta hydrolase fold protein
group9536, major facilitator superfamily MFS_1
group13568, hypothetical protein
group13569, hypothetical protein
group9533, hypothetical protein
group9532, hypothetical protein
group9531, hypothetical protein
group9530, Isoprenylcysteine carboxyl methyltransferase
group5245-2, hypothetical protein
group11419-2, 3-oxoacyl-(acyl-carrier-protein) reductase
group6081-2, hypothetical protein
group2424-2, binding-protein-dependent transport systems inner membrane component
group5562, MOSC domain containing protein
group5563, Pirin domain protein
group6024, XRE family transcriptional regulator
group767, binding-protein-dependent transport systems inner membrane component
group6026, ABC-2 type transporter
group6027, ABC-2 type transporter
group762, RNA polymerase%2C sigma-24 subunit%2C ECF subfamily
group6021, phosphoesterase PA-phosphatase related
group586, GntR family transcriptional regulator
group6022, mntH%3B manganese transporter protein
group18597, multi-sensor hybrid histidine kinase
group761, von Willebrand factor type A
group18594, hypothetical protein
group18595, hypothetical protein
group582, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group18593, rhamnose ABC transporter%2C periplasmic rhamnose-binding protein
group18590, ROK family protein
group14623-2, hypothetical protein
group581, extracellular solute-binding protein family 1
group588, PAS/PAC sensor signal transduction histidine kinase
group589, alpha/beta hydrolase fold protein
group16368, transcriptional regulator%2C ArsR family
group4611, putative polysaccharide degradation protein
group4610, hypothetical protein
group4613, LacI family transcriptional regulator
group4612, extracellular solute-binding protein family 1
group4615, D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
group4614, hypothetical protein
group4617, Xylose isomerase domain protein TIM barrel
group4616, oxidoreductase domain protein
group4619, oxidoreductase domain protein
group4618, hypothetical protein
group8912, hypothetical protein
group8913, hypothetical protein
group8910, hypothetical protein
group8911, hypothetical protein
group8916, hypothetical protein
group8917, hypothetical protein
group8914, hypothetical protein
group8915, hypothetical protein
group8918, hypothetical protein
group8919, hypothetical protein
group19539, Monosaccharide-transporting ATPase
group19538, Alcohol dehydrogenase zinc-binding domain protein
group19533, DNA ligase D
group19532, hypothetical protein
group19531, hypothetical protein
group19530, hypothetical protein
group19537, Alcohol dehydrogenase zinc-binding domain protein
group19536, binding-protein-dependent transport systems inner membrane component
group19535, hypothetical protein
group19534, hypothetical protein
group1399, acyl carrier protein
group1398, 3-oxoacyl-(acyl-carrier-protein) reductase
group1393, membrane protein
group1392, ribosomal protein L9
group1391, replicative DNA helicase
group1390, alanine racemase
group1397, malonyl CoA-acyl carrier protein transacylase
group1396, aldo/keto reductase
group1395, ribosomal protein S6
group1394, ribosomal protein S18
group8337-3, transposase IS4 family protein
group10035, replicative DNA helicase
group10034, Phosphogluconate dehydrogenase%2C NAD-binding%2C putative-like protein
group3827, transcriptional regulator%2C GntR family
group3826, extracellular solute-binding protein family 1
group3825, binding-protein-dependent transport systems inner membrane component
group3824, binding-protein-dependent transport systems inner membrane component
group3823, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3822, Mandelate racemase/muconate lactonizing protein
group3821, Dimethylmenaquinone methyltransferase
group3820, transcriptional regulator%2C LacI family
group10039, UvrD/REP helicase
group3829, Mandelate racemase/muconate lactonizing protein
group3828, Mandelate racemase/muconate lactonizing protein
group5256, transcriptional regulator%2C GntR family
group5257, Alcohol dehydrogenase GroES domain protein
group5254, FAD dependent oxidoreductase
group5255, dihydrodipicolinate synthetase
group5252, beta-lactamase
group5253, pyruvate decarboxylase
group5250, inosose dehydratase
group5251, xylose isomerase
group5258, TRAP dicarboxylate transporter%2C DctM subunit
group5259, Tripartite ATP-independent periplasmic transporter DctQ component
group2150, PhnA protein
group2151, transglutaminase domain protein
group20139, hypothetical protein
group20138, hypothetical protein
group2154, hypothetical protein
group2155, hypothetical protein
group2156, Transglycosylase-associated protein
group2157, peptidyl-prolyl cis-trans isomerase D signal peptide protein
group2158, anthranilate phosphoribosyltransferase
group2159, Indole-3-glycerol-phosphate synthase
group20131, conjugal transfer protein TraF
group20130, type IV secretion/conjugal transfer ATPase%2C VirB4 family
group20137, hypothetical protein
group20136, hypothetical protein
group20135, DNA polymerase III%2C alpha subunit
group20134, short-chain dehydrogenase/reductase SDR
group9731, hypothetical protein
group9730, hypothetical protein
group9733, hypothetical protein
group9732, alkylhydroperoxidase like protein%2C AhpD family
group9735, hypothetical protein
group9734, hypothetical protein
group9737, hypothetical protein
group9736, hypothetical protein
group9739, hypothetical protein
group9738, cytochrome c class I
group6701, hypothetical protein
group6700, Outer membrane protease OmpP
group6703, hypothetical protein
group6702, hypothetical protein
group6705, transposase IS630-like protein
group6704, hypothetical protein
group6707, AbrB family transcriptional regulator
group6706, transposase
group6709, hypothetical protein
group6708, putative nucleic acid-binding PilT-like protein
group7254, extracellular solute-binding protein family 1
group7255, binding-protein-dependent transport systems inner membrane component
group7256, binding-protein-dependent transport systems inner membrane component
group7257, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group7250, transposase
group7251, hypothetical protein
group7252, response regulator receiver modulated metal dependent phosphohydrolase
group7253, transcriptional regulator%2C GntR family
group7258, Alcohol dehydrogenase GroES domain protein
group7259, xylulokinase
group9887, hypothetical protein
group9886, hypothetical protein
group9885, exodeoxyribonuclease III
group9884, exodeoxyribonuclease III
group9883, hypothetical protein
group9882, hypothetical protein
group9881, hypothetical protein
group9880, hypothetical protein
group9889, hypothetical protein
group9888, hypothetical protein
group5766-2, conjugal transfer protein TrbI
group12949, P-type conjugative transfer ATPase TrbB
group8454, 5-oxopent-3-ene-1%2C2%2C5-tricarboxylate decarboxylase
group12943, hypothetical protein
group12942, Integrase catalytic region
group12941, hypothetical protein
group12940, hypothetical protein
group12947, hypothetical protein
group12946, amidohydrolase
group12945, hypothetical protein
group12944, hypothetical protein
group4938, Succinate-semialdehyde dehydrogenase
group4939, esterase
group4934, intracellular protease%2C PfpI family
group4935, transcriptional regulator%2C GntR family
group4936, (R)-2-hydroxyacid dehydrogenase
group4937, iron-containing alcohol dehydrogenase
group4930, hypothetical protein
group4931, hypothetical protein
group4932, hypothetical protein
group4933, peptidase M24
group18059, hypothetical protein
group883, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group882, Xylose isomerase domain protein TIM barrel
group881, oxidoreductase domain protein
group880, protein-L-isoaspartate O-methyltransferase
group887, hypothetical protein
group886, transcriptional regulator%2C LacI family
group885, LacI family transcriptional regulator
group884, inner-membrane translocator
group889, NmrA family protein
group888, Acetamidase/Formamidase
group14925-2, hypothetical protein
group2839, transglutaminase family protein cysteine peptidase BTLCP
group2838, hypothetical protein
group2837, hypothetical protein
group2836, hypothetical protein
group2835, Isoprenylcysteine carboxyl methyltransferase
group2834, ACS59130.1 maltose O-acetyltransferase (plasmid)
group2833, fumarylacetoacetase
group2832, nucleotidyltransferase
group2831, GNAT family acetyltransferase
group2830, adenylate/guanylate cyclase with Chase sensor
group14453, hypothetical protein
group14452, helicase domain protein
group14451, hypothetical protein
group14450, hypothetical protein
group14457, hypothetical protein
group14456, hypothetical protein
group14455, transposase
group14454, hypothetical protein
group14459, hypothetical protein
group14458, DNA polymerase III%2C epsilon subunit
group10516, ATP-dependent metalloprotease FtsH
group10517, cytochrome P450
group10514, hypothetical protein
group10515, transposase IS5 family protein
group10512, replication protein RepA
group10513, hypothetical protein
group10510, Coagulase/fibrinolysin
group10511, hypothetical protein
group10518, hypothetical protein
group10519, hypothetical protein
group13157, Glyoxalase/bleomycin resistance protein/dioxygenase
group13156, AraC family transcriptional regulator
group13155, nucleoside-diphosphate sugar epimerase
group13154, hypothetical protein
group13153, oxidoreductase domain protein
group13152, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group13151, ATPase
group13150, sugar ABC transporter substrate-binding protein
group13159, Alcohol dehydrogenase zinc-binding domain protein
group13158, Helix-turn-helix type 11 domain protein
group6743-2, hypothetical protein
group10211-2, hypothetical protein
group7081, binding-protein-dependent transport systems inner membrane component
group7080, hypothetical protein
group12204, hypothetical protein
group12205, hypothetical protein
group12206, NIPSNAP family containing protein
group12207, conjugal transfer protein TrbL
group12200, hypothetical protein
group12201, hypothetical protein
group12202, transposase IS66
group12203, hypothetical protein
group12208, Integrase catalytic region
group12209, hypothetical protein
group19169, transcriptional regulator%2C LysR family
group15269, hypothetical protein
group15268, hypothetical protein
group15267, transposase
group15266, transposase
group15265, hypothetical protein
group15264, hypothetical protein
group15263, hypothetical protein
group15262, hypothetical protein
group15261, transport system permease protein
group15260, hypothetical protein
group6080-2, hypothetical protein
group18992, transcriptional regulator%2C AraC family
group18993, hypothetical protein
group7809-3, transposase IS66
group7809-2, transposase IS66
group5303-2, Cytochrome-c peroxidase
group2241-2, oxidoreductase alpha (molybdopterin) subunit
group5721-2, Ku protein
group6085-2, TRAG family protein
group6085-3, TRAG family protein
group11007, transposase IS5 family protein
group11006, binding-protein-dependent transport systems inner membrane component
group11005, transposase IS5 family protein
group11004, hypothetical protein
group11003, hypothetical protein
group11002, hypothetical protein
group11001, putative signal peptide protein
group11000, Integrase catalytic region
group11009, Antibiotic biosynthesis monooxygenase
group11008, transposase IS5 family protein
group5861, HpcH/HpaI aldolase
group5860, RND efflux system%2C outer membrane lipoprotein%2C NodT family
group5863, Carbamoyl-phosphate synthase L chain ATP-binding protein
group5862, MaoC domain protein dehydratase
group5865, acyl-CoA dehydrogenase domain protein
group5864, Propionyl-CoA carboxylase
group5867, transcriptional regulator%2C AraC family
group8898, hypothetical protein
group8897, adenylate/guanylate cyclase with Chase sensor
group5868, short-chain dehydrogenase/reductase SDR
group8895, membrane protein
group8894, hypothetical protein
group8893, transcriptional regulator%2C LysR family
group8892, tyrosine recombinase XerC
group8891, transposase
group8890, DNA primase
group4400, hypothetical protein
group4401, succinyl-CoA synthetase%2C alpha subunit
group4402, 2-oxoglutarate dehydrogenase%2C E1 subunit
group4403, YCII-related protein
group4404, dihydrolipoamide succinyltransferase
group4405, hypothetical protein
group4406, hypothetical protein
group4407, short-chain dehydrogenase/reductase SDR
group4408, dihydrolipoamide dehydrogenase
group4409, cytochrome B561
group10754, transposase
group10755, hypothetical protein
group10756, hypothetical protein
group18568, hypothetical protein
group8761, tyrosine recombinase XerD
group10751, hypothetical protein
group10752, hypothetical protein
group10753, transposase
group18563, antitoxin of toxin-antitoxin stability system
group18562, hypothetical protein
group18561, DNA primase
group18560, hypothetical protein
group10758, hypothetical protein
group10759, Excinuclease ABC C subunit domain protein
group18565, putative transcriptional regulator protein%2C LacI family
group18564, beta-Ig-H3/fasciclin
group2587, O-methyltransferase family 3
group2586, hypothetical protein
group2585, transcriptional regulator%2C GntR family
group2584, hypothetical protein
group2583, Glutathione transferase FosA
group2582, Epoxide hydrolase domain protein
group2581, transcriptional regulator%2C TetR family
group2580, NAD(P)H dehydrogenase (quinone)
group1481, 3-oxoacyl-(acyl-carrier-protein) synthase III
group2589, D-amino-acid dehydrogenase
group2588, siderophore interacting protein
group5101, calcium-binding protein
group5106, binding-protein-dependent transport systems inner membrane component
group5107, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group1588, penicillin-binding protein%2C 1A family
group1589, hypothetical protein
group5104, extracellular solute-binding protein family 5
group1582, hypothetical protein
group1583, dihydroorotase%2C multifunctional complex type
group1580, ribonuclease R
group1581, DNA topoisomerase I
group1586, ribonuclease%2C Rne/Rng family
group1587, N-acetylmuramoyl-L-alanine amidase
group1584, aspartate carbamoyltransferase
group1585, acyl-CoA dehydrogenase domain protein
group18699, hypothetical protein
group18698, hypothetical protein
group18695, putative RNA polymerase%2C sigma-24 subunit%2C ECF subfamily
group18694, DGPFAETKE family protein
group18697, hypothetical protein
group18696, hypothetical protein
group18691, hypothetical protein
group1489, hypothetical protein
group18693, Glyoxalase/bleomycin resistance protein/dioxygenase
group18692, hypothetical protein
group5109, isomerase
group3980, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3981, transcriptional regulator%2C LacI family
group3982, xylose isomerase
group3983, xylulokinase
group3984, LacI family transcriptional regulator
group3985, drug resistance transporter%2C EmrB/QacA subfamily
group3986, secretion protein HlyD family protein
group3987, transcriptional regulator%2C TetR family
group3988, transcriptional regulator%2C AraC family
group3989, Integral membrane protein TerC
group9388, short-chain dehydrogenase/reductase SDR
group9389, short-chain dehydrogenase/reductase SDR
group1630, ribosomal protein L16
group1631, ribosomal protein L29
group1632, ribosomal protein S17
group1633, ribosomal protein L14
group1634, ribosomal protein L24
group1635, ribosomal protein L5
group1636, ribosomal protein S14
group1637, ribosomal protein S8
group1638, ribosomal protein L6
group14709-2, NAD(P)(+) transhydrogenase (AB-specific)
group3676, gamma-glutamyltransferase
group3677, Pyridoxal-5'-phosphate-dependent protein beta subunit
group3674, short-chain dehydrogenase/reductase SDR
group3675, transcriptional regulator
group3672, hypothetical protein
group3673, transcriptional regulator%2C HxlR family
group3670, alpha/beta hydrolase fold protein
group3671, short-chain dehydrogenase
group3678, short-chain dehydrogenase/reductase SDR
group3679, transcriptional regulator%2C AraC family
group740, integral membrane sensor signal transduction histidine kinase
group741, two component transcriptional regulator%2C LuxR family
group742, hypothetical protein
group743, Na+/solute symporter
group744, methyl-accepting chemotaxis sensory transducer
group745, Alkanesulfonate monooxygenase
group746, nitrilotriacetate monooxygenase component A
group747, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group748, binding-protein-dependent transport systems inner membrane component
group749, hypothetical protein
group6004, ATP-dependent DNA ligase
group6005, transcriptional regulator%2C histidine utilization repressor%2C GntR family
group6002, hypothetical protein
group6003, ATP-dependent DNA ligase
group6000, NAD-dependent epimerase/dehydratase
group19054-2, hypothetical protein
group16349, hypothetical protein
group16348, hypothetical protein
group16345, transcriptional regulator
group16344, hypothetical protein
group16347, endoribonuclease L-PSP
group16346, cupin
group16341, extracellular solute-binding protein family 1
group16340, hypothetical protein
group16343, hypothetical protein
group16342, tRNA synthetase class I (M)
group9960, hypothetical protein
group9961, hypothetical protein
group9962, hypothetical protein
group9963, transposase IS4 family protein
group9964, transposase IS3/IS911 family protein
group9965, hypothetical protein
group9966, hypothetical protein
group9967, hypothetical protein
group9968, transposase IS5 family protein
group9969, hypothetical protein
group296, Nitrilase
group297, hypothetical protein
group294, GCN5-related N-acetyltransferase
group295, hypothetical protein
group292, glycosyl transferase group 1
group293, Phosphoribosylformylglycinamidine synthase subunit PurL
group290, FAD-dependent oxidoreductase
group291, hypothetical protein
group298, hydrolase
group299, hypothetical protein
group21039, transposase IS4 family protein
group21038, hypothetical protein
group21031, hypothetical protein
group21030, hemolysin secretion protein D
group21033, major facilitator superfamily MFS_1
group21032, hypothetical protein
group21035, hypothetical protein
group21034, hypothetical protein
group21037, hypothetical protein
group21036, hypothetical protein
group7351, transposase IS3/IS911 family protein
group7350, hypothetical protein
group7353, phosphoribosylaminoimidazole carboxylase%2C catalytic subunit
group7352, transposase
group7355, hypothetical protein
group7354, transposase IS4 family protein
group7357, hypothetical protein
group7356, NmrA family protein
group7359, Integrase catalytic region
group7358, Flavastacin
group6910, hypothetical protein
group6911, hypothetical protein
group6912, hypothetical protein
group6913, heat shock protein Hsp20
group6914, hypothetical protein
group6915, hypothetical protein
group6916, isochorismatase hydrolase
group6917, transposase
group6918, transposase
group6919, transposase
group15069, hypothetical protein
group15068, hypothetical protein
group15065, restriction endonuclease
group15064, hypothetical protein
group15067, Glyoxalase/bleomycin resistance protein/dioxygenase
group15066, hypothetical protein
group15061, hypothetical protein
group15060, hypothetical protein
group15063, hypothetical protein
group15062, ACS59147.1 Electron transfer flavoprotein alpha/beta-subunit (plasmid)
group9383-2, hypothetical protein
group4879, Lysine exporter protein (LYSE/YGGA)
group4878, cysteine synthase A
group4871, cupin
group4870, hypothetical protein
group4873, periplasmic binding protein/LacI transcriptional regulator
group4872, transcriptional regulator%2C LacI family
group4875, sugar ABC transporter
group4874, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group4877, Mg chelatase%2C subunit ChlI
group4876, glutathione synthetase
group15933, hypothetical protein
group15932, hypothetical protein
group15931, hypothetical protein
group15930, hypothetical protein
group15937, FAD linked oxidase domain protein
group15936, transcriptional regulator%2C LysR family
group15935, hypothetical protein
group15934, monooxygenase FAD-binding protein
group15939, hypothetical protein
group15938, hypothetical protein
group14084, hypothetical protein
group14085, hypothetical protein
group14086, hypothetical protein
group14087, Ku protein
group14080, hypothetical protein
group14081, hypothetical protein
group14082, hypothetical protein
group14083, hypothetical protein
group14088, pentapeptide repeat protein
group14089, hypothetical protein
group17575, Thiosulfate sulfurtransferase GlpE
group17574, extracellular solute-binding protein family 5
group17577, alkanesulfonate monooxygenase
group17576, aliphatic sulfonates family ABC transporter%2C periplsmic ligand-binding protein
group17571, hypothetical protein
group17570, hypothetical protein
group17573, amidohydrolase
group17572, nitrilotriacetate monooxygenase component A
group17579, binding-protein-dependent transport systems inner membrane component
group17578, extracellular solute-binding protein family 5
group16628, DoxX family protein
group16629, Ethyl tert-butyl ether degradation EthD
group16622, hypothetical protein
group16623, ester cyclase
group16620, hypothetical protein
group16621, hypothetical protein
group16626, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group16627, hypothetical protein
group16624, hypothetical protein
group16625, TetR family transcriptional regulator
group13052, hypothetical protein
group13053, hypothetical protein
group13050, hypothetical protein
group13051, hypothetical protein
group13056, response regulator receiver protein
group13057, hypothetical protein
group13054, hypothetical protein
group13055, hypothetical protein
group13058, hypothetical protein
group13059, hypothetical protein
group5739-3, binding-protein-dependent transport systems inner membrane component
group15934-2, monooxygenase FAD-binding protein
group12015, Integrase catalytic region
group12014, transposase
group12017, hypothetical protein
group12016, transposase IS5 family protein
group12011, hypothetical protein
group12010, hypothetical protein
group12013, transposase
group12012, transcriptional regulator%2C XRE family
group12019, hypothetical protein
group12018, hypothetical protein
group8567, transposase IS30
group8566, porin
group8565, plasmid stabilization system
group8564, sugar ABC transporter%2C substrate-binding protein
group8563, hypothetical protein
group8562, hypothetical protein
group8561, hypothetical protein
group8560, hypothetical protein
group8569, transcriptional regulator%2C LysR family
group8568, transposase IS30
group7721-3, hypothetical protein
group15548, hypothetical protein
group15549, hypothetical protein
group15542, hypothetical protein
group15543, 5-aminolevulinic acid synthase
group15540, transcriptional regulator%2C LysR family
group15541, hypothetical protein
group15546, hypothetical protein
group15547, Aldehyde Dehydrogenase
group15544, hypothetical protein
group15545, hypothetical protein
group3478, hypothetical protein
group3479, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3470, hypothetical protein
group3471, binding-protein-dependent transport systems inner membrane component
group3472, binding-protein-dependent transport systems inner membrane component
group3473, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3474, hydroxypyruvate isomerase
group3475, 2-hydroxy-3-oxopropionate reductase
group3476, beta-galactosidase
group3477, membrane protein
group9758, HNH endonuclease
group18880, hypothetical protein
group18881, hypothetical protein
group18882, hypothetical protein
group18883, transmembrane prediction
group18884, Polysulphide reductase NrfD
group18885, molybdopterin oxidoreductase%2C iron-sulfur binding subunit
group18886, chaperone protein HtpG
group18887, hypothetical protein
group18888, hypothetical protein
group18889, hypothetical protein
group16223-3, hypothetical protein
group5935, Taurine dioxygenase
group7885, serine recombinase
group5720-2, Ku protein
group7887, Resolvase domain protein
group7886, transposase
group7881, heavy metal translocating P-type ATPase
group7880, transposase
group7883, transposase
group7882, transposase IS630-like protein
group7889, Methyltransferase type 11
group7888, hypothetical protein
group960, hypothetical protein
group961, kinase
group962, hypothetical protein
group963, hypothetical protein
group964, methyltransferase
group965, ketosteroid isomerase
group966, myo-inositol 2-dehydrogenase
group967, short-chain dehydrogenase
group968, oxidoreductase
group969, transcriptional regulator%2C LysR family
group10199-2, hypothetical protein
group15648, hypothetical protein
group11634, 4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase
group11635, hypothetical protein
group10089-2, adenylate/guanylate cyclase
group11637, hypothetical protein
group11630, binding-protein-dependent transport systems inner membrane component
group11631, extracellular solute-binding protein family 5
group11632, major facilitator superfamily MFS_1
group11633, transcriptional regulator%2C LysR family
group11638, hypothetical protein
group11639, hypothetical protein
group18718, hypothetical protein
group18719, transposase
group18710, hypothetical protein
group18711, phosphoglycerate dehydrogenase
group18712, hypothetical protein
group18713, integrase family protein
group18714, aminoglycoside/hydroxyurea antibiotic resistance kinase
group18715, hypothetical protein
group18716, short-chain dehydrogenase/reductase SDR
group18717, hypothetical protein
group2460, hypothetical protein
group2461, ABC-2 type transporter
group2462, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group2463, Integrase catalytic region
group2464, Alpha-N-arabinofuranosidase
group2465, aldo/keto reductase
group2466, oxidoreductase domain protein
group2467, Xylose isomerase domain protein TIM barrel
group2468, Beta-mannosidase
group2469, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group17779, hypothetical protein
group17778, hypothetical protein
group6845-2, Salicylate 1-monooxygenase
group17773, hypothetical protein
group17772, hypothetical protein
group17771, hypothetical protein
group17770, Alcohol dehydrogenase zinc-binding domain protein
group17777, hypothetical protein
group17776, hypothetical protein
group17775, hypothetical protein
group17774, hypothetical protein
group9021, DNA-cytosine methyltransferase
group9020, TRAG family protein
group9023, hypothetical protein
group9022, transposase
group9025, DNA mismatch repair protein MutT
group9024, transposase
group9027, hypothetical protein
group9026, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group9029, Group II intron-encoded protein LtrA
group9028, UvrD/REP helicase
group10279, hypothetical protein
group10278, hypothetical protein
group10277, hypothetical protein
group10276, membrane protein
group10275, AzlC family protein
group10274, transcriptional regulator%2C AraC family
group10273, hypothetical protein
group10272, hypothetical protein
group10271, acetyltransferase
group10270, hypothetical protein
group151, adenylate/guanylate cyclase
group150, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group153, transcriptional regulator%2C MarR family
group152, hypothetical protein
group155, ATPase
group154, cupin
group157, deaminase reductase
group156, ArsR family transcriptional regulator
group159, Activator of Hsp90 ATPase 1 family protein
group158, putative transcriptional regulator%2C ArsR family
group7140, transposase IS630-like protein
group7141, cupin
group7142, transposase IS630-like protein
group7143, hypothetical protein
group7144, transposase IS630-like protein
group7145, transposase IS630-like protein
group7146, transcriptional regulator%2C LysR family
group7147, hemolysin secretion protein D
group7148, transposase IS66
group7149, transposase IS3/IS911 family protein
group12659, hypothetical protein
group12658, hypothetical protein
group2166-2, carbon monoxide dehydrogenase
group12653, N-carbamoylsarcosine amidase
group12652, hypothetical protein
group12651, O-antigen polymerase
group12650, hypothetical protein
group12657, hypothetical protein
group12656, hypothetical protein
group12655, hypothetical protein
group12654, Group II intron-encoded protein LtrA
group15388, hypothetical protein
group15389, Integrase catalytic region
group15380, hypothetical protein
group15381, hypothetical protein
group15382, hypothetical protein
group15383, hypothetical protein
group15384, hypothetical protein
group15385, hypothetical protein
group15386, putative HTH-type transcriptional regulator
group15387, hypothetical protein
group1712-2, Alcohol dehydrogenase GroES domain protein
group14163, nuclease
group14162, hypothetical protein
group14161, peptidase M16 domain protein
group14160, hypothetical protein
group14167, hypothetical protein
group14166, hypothetical protein
group14165, hypothetical protein
group14164, hypothetical protein
group14169, hypothetical protein
group14168, transposase IS204/IS1001/IS1096/IS1165 family protein
group17651, hypothetical protein
group11164, hypothetical protein
group11165, hypothetical protein
group19319, hypothetical protein
group4384, agmatinase
group11160, hypothetical protein
group11161, response regulator receiver protein
group11162, hypothetical protein
group11163, hypothetical protein
group19317, response regulator receiver protein
group11169, putative FHA domain containing protein
group19315, hypothetical protein
group19314, hypothetical protein
group10695, Alcohol dehydrogenase zinc-binding domain protein
group10694, hypothetical protein
group5474, hypothetical protein
group10696, hypothetical protein
group10691, hypothetical protein
group10690, hypothetical protein
group10693, transposase IS630-like protein
group11099-2, cytochrome d ubiquinol oxidase%2C subunit II
group10692, transposase IS630-like protein
group6955-2, transposase
group6955-3, transposase
group13243, hypothetical protein
group13242, transposase
group13241, hypothetical protein
group13240, hypothetical protein
group13247, hypothetical protein
group13246, hypothetical protein
group13245, transposase
group13244, transposase
group13249, transposase IS3/IS911 family protein
group13248, hypothetical protein
group1313, hypothetical protein
group1312, hypothetical protein
group1311, AMP nucleosidase
group1310, hypothetical protein
group1317, hypothetical protein
group1316, hypothetical protein
group1315, aminotransferase class I and II
group1314, Sel1 domain protein repeat-containing protein
