group7136-2, chromosome-01
group19535, chromosome-06
group19534, chromosome-06
group1399, chromosome-01
group1398, chromosome-01
group1393, chromosome-01
group1392, chromosome-01
group1391, chromosome-01
group1390, chromosome-01
group1397, chromosome-01
group1396, chromosome-01
group1395, chromosome-01
group1394, chromosome-01
group8337-3, fragment
group10035, chromosome-00
group10034, chromosome-00
group3827, plasmid-Rh01
group3826, plasmid-Rh01
group3825, plasmid-Rh01
group3824, plasmid-Rh01
group3823, plasmid-Rh01
group3822, plasmid-Rh01
group3821, plasmid-Rh01
group3820, fragment
group10039, plasmid-Rh07
group3829, plasmid-Rh01
group3828, plasmid-Rh01
group5256, plasmid-Rh01
group5257, plasmid-Rh01
group5254, plasmid-Rh01
group5255, plasmid-Rh01
group5252, plasmid-Rh01
group5253, plasmid-Rh01
group5250, plasmid-Rh01
group5251, plasmid-Rh01
group5258, plasmid-Rh01
group5259, plasmid-Rh01
group2150, chromosome-01
group2151, chromosome-01
group20139, fragment
group20138, fragment
group2154, chromosome-01
group2155, chromosome-01
group2156, chromosome-01
group2157, chromosome-01
group2158, chromosome-01
group2159, chromosome-01
group20131, plasmid-Rh15
group20130, fragment
group20137, fragment
group20136, fragment
group20135, fragment
group20134, plasmid-Rh15
group9731, plasmid-Rh02
group9730, plasmid-Rh02
group9733, plasmid-Rh02
group9732, plasmid-Rh02
group9735, fragment
group9734, plasmid-Rh03
group9737, chromosome-01
group9736, chromosome-01
group9739, chromosome-05
group9738, chromosome-00
group6701, fragment
group6700, fragment
group6703, fragment
group6702, fragment
group6705, fragment
group6704, fragment
group6707, fragment
group6706, fragment
group6709, fragment
group6708, fragment
group7254, chromosome-00
group7255, chromosome-00
group7256, chromosome-00
group7257, fragment
group7250, chromosome-05
group7251, chromosome-00
group7252, chromosome-20
group7253, chromosome-00
group7258, chromosome-00
group7259, chromosome-00
group9887, chromosome-01
group9886, chromosome-00
group9885, plasmid-Rh15
group9884, chromosome-02
group9883, chromosome-02
group9882, plasmid-Rh02
group9881, chromosome-02
group9880, chromosome-02
group9889, chromosome-02
group9888, chromosome-02
group5766-2, plasmid-Rh13
group12949, plasmid-Rh04
group8454, chromosome-00
group12943, plasmid-Rh01
group12942, fragment
group12941, chromosome-01
group12940, chromosome-01
group12947, plasmid-Rh04
group12946, plasmid-Rh04
group12945, plasmid-Rh04
group12944, chromosome-01
group4938, plasmid-Rh01
group4939, plasmid-Rh01
group4934, plasmid-Rh01
group4935, plasmid-Rh01
group4936, plasmid-Rh01
group4937, plasmid-Rh01
group4930, plasmid-Rh01
group4931, plasmid-Rh01
group4932, plasmid-Rh01
group4933, plasmid-Rh01
group18059, chromosome-01
group883, fragment
group882, fragment
group881, fragment
group880, fragment
group887, fragment
group886, fragment
group885, fragment
group884, fragment
group889, fragment
group888, fragment
group14925-2, chromosome-06
group2839, chromosome-04
group2838, chromosome-00
group2837, chromosome-00
group2836, chromosome-00
group2835, chromosome-00
group2834, chromosome-00
group2833, chromosome-00
group2832, chromosome-00
group2831, chromosome-00
group2830, chromosome-00
group14453, chromosome-08
group14452, fragment
group14451, chromosome-00
group14450, plasmid-Rh01
group14457, plasmid-Rh02-circ
group14456, chromosome-08
group14455, fragment
group14454, chromosome-08
group14459, plasmid-Rh02-circ
group14458, plasmid-Rh02-circ
group10516, plasmid-Rh04
group10517, plasmid-Rh04
group10514, plasmid-Rh04
group10515, plasmid-Rh04
group10512, fragment
group10513, plasmid-Rh04
group10510, plasmid-Rh04
group10511, plasmid-Rh04
group10518, plasmid-Rh04
group10519, plasmid-Rh04
group13157, plasmid-Rh01
group13156, fragment
group13155, fragment
group13154, fragment
group13153, fragment
group13152, fragment
group13151, fragment
group13150, fragment
group13159, plasmid-Rh01
group13158, plasmid-Rh01
group6743-2, fragment
group10211-2, chromosome-07
group7081, plasmid-Rh01
group7080, chromosome-00
group12204, chromosome-01
group12205, chromosome-05
group12206, plasmid-Rh02
group12207, plasmid-Rh13
group12200, chromosome-00
group12201, chromosome-16
group12202, fragment
group12203, chromosome-01
group12208, fragment
group12209, chromosome-01
group19169, fragment
group15269, chromosome-05
group15268, chromosome-04
group15267, fragment
group15266, chromosome-01
group15265, chromosome-01
group15264, chromosome-04
group15263, chromosome-03
group15262, chromosome-09
group15261, chromosome-23
group15260, chromosome-01
group6080-2, chromosome-07
group18992, chromosome-00
group18993, chromosome-00
group7809-3, fragment
group7809-2, chromosome-00
group5303-2, plasmid-Rh01
group2241-2, chromosome-05
group5721-2, fragment
group6085-2, fragment
group6085-3, fragment
group11007, chromosome-07
group11006, fragment
group11005, plasmid-Rh01-circ
group11004, chromosome-07
group11003, fragment
group11002, chromosome-06
group11001, chromosome-06
group11000, plasmid-Rh07
group11009, chromosome-01
group11008, chromosome-14
group5861, plasmid-Rh03
group5860, plasmid-Rh03
group5863, plasmid-Rh03
group5862, plasmid-Rh03
group5865, plasmid-Rh03
group5864, plasmid-Rh03
group5867, plasmid-Rh03
group8898, plasmid-Rh01
group8897, plasmid-Rh01
group5868, fragment
group8895, chromosome-01
group8894, fragment
group8893, fragment
group8892, chromosome-00
group8891, chromosome-01
group8890, chromosome-01
group4400, chromosome-00
group4401, chromosome-00
group4402, chromosome-00
group4403, chromosome-00
group4404, chromosome-00
group4405, chromosome-00
group4406, chromosome-00
group4407, chromosome-00
group4408, chromosome-00
group4409, chromosome-00
group10754, chromosome-01
group10755, chromosome-01
group10756, chromosome-01
group18568, plasmid-Rh01
group8761, plasmid-Rh04
group10751, fragment
group10752, fragment
group10753, chromosome-04
group18563, fragment
group18562, fragment
group18561, fragment
group18560, plasmid-Rh03
group10758, fragment
group10759, chromosome-00
group18565, plasmid-Rh01
group18564, plasmid-Rh01-circ
group2587, chromosome-00
group2586, chromosome-00
group2585, chromosome-00
group2584, chromosome-00
group2583, chromosome-01
group2582, chromosome-00
group2581, chromosome-00
group2580, chromosome-00
group1481, chromosome-01
group2589, chromosome-00
group2588, chromosome-00
group5101, plasmid-Rh01
group5106, plasmid-Rh01
group5107, plasmid-Rh01
group1588, chromosome-01
group1589, chromosome-01
group5104, plasmid-Rh01
group1582, chromosome-01
group1583, chromosome-01
group1580, chromosome-01
group1581, chromosome-01
group1586, chromosome-01
group1587, chromosome-01
group1584, chromosome-01
group1585, chromosome-01
group18699, chromosome-18
group18698, chromosome-18
group18695, chromosome-18
group18694, chromosome-18
group18697, chromosome-18
group18696, chromosome-18
group18691, chromosome-18
group1489, chromosome-01
group18693, chromosome-18
group18692, chromosome-18
group5109, plasmid-Rh01
group3980, chromosome-00
group3981, chromosome-00
group3982, chromosome-00
group3983, chromosome-00
group3984, chromosome-00
group3985, chromosome-00
group3986, chromosome-00
group3987, chromosome-00
group3988, chromosome-00
group3989, chromosome-00
group9388, plasmid-Rh02-circula
group9389, chromosome-04
group1630, chromosome-01
group1631, chromosome-01
group1632, chromosome-01
group1633, chromosome-01
group1634, chromosome-01
group1635, chromosome-01
group1636, chromosome-01
group1637, chromosome-01
group1638, chromosome-01
group14709-2, plasmid-Rh01
group3676, chromosome-00
group3677, chromosome-00
group3674, chromosome-00
group3675, chromosome-00
group3672, chromosome-00
group3673, chromosome-00
group3670, chromosome-00
group3671, chromosome-00
group3678, chromosome-00
group3679, chromosome-00
group740, fragment
group741, fragment
group742, fragment
group743, fragment
group744, fragment
group745, fragment
group746, fragment
group747, fragment
group748, fragment
group749, fragment
group6004, chromosome-01
group6005, plasmid-Rh02
group6002, plasmid-Rh02
group6003, plasmid-Rh02
group6000, plasmid-Rh02
group19054-2, fragment
group16349, chromosome-01
group16348, chromosome-01
group16345, chromosome-01
group16344, fragment
group16347, chromosome-01
group16346, chromosome-01
group16341, fragment
group16340, chromosome-06
group16343, chromosome-01
group16342, chromosome-11
group9960, chromosome-01
group9961, fragment
group9962, fragment
group9963, chromosome-10
group9964, fragment
group9965, chromosome-03
group9966, chromosome-00
group9967, fragment
group9968, chromosome-05
group9969, chromosome-10
group296, chromosome-01
group297, chromosome-01
group294, chromosome-01
group295, chromosome-01
group292, chromosome-01
group293, chromosome-01
group290, chromosome-01
group291, chromosome-01
group298, chromosome-01
group299, chromosome-01
group21039, chromosome-13
group21038, plasmid-Rh12
group21031, plasmid-Rh12
group21030, plasmid-Rh12
group21033, chromosome-03
group21032, plasmid-Rh12
group21035, fragment
group21034, fragment
group21037, chromosome-01
group21036, fragment
group7351, fragment
group7350, plasmid-Rh03
group7353, chromosome-01
group7352, fragment
group7355, chromosome-01
group7354, chromosome-01
group7357, fragment
group7356, chromosome-01
group7359, fragment
group7358, fragment
group6910, fragment
group6911, fragment
group6912, fragment
group6913, fragment
group6914, fragment
group6915, fragment
group6916, plasmid-Rh04
group6917, fragment
group6918, fragment
group6919, fragment
group15069, chromosome-05
group15068, chromosome-00
group15065, chromosome-03
group15064, fragment
group15067, fragment
group15066, fragment
group15061, fragment
group15060, fragment
group15063, fragment
group15062, fragment
group9383-2, fragment
group4879, chromosome-00
group4878, chromosome-00
group4871, chromosome-00
group4870, chromosome-00
group4873, chromosome-00
group4872, chromosome-00
group4875, chromosome-00
group4874, chromosome-00
group4877, chromosome-00
group4876, chromosome-00
group15933, chromosome-01
group15932, fragment
group15931, plasmid-Rh12
group15930, plasmid-Rh12
group15937, plasmid-Rh02
group15936, chromosome-23
group15935, chromosome-00
group15934, chromosome-02
group15939, chromosome-24
group15938, plasmid-Rh16-circul
group14084, chromosome-12
group14085, chromosome-12
group14086, chromosome-12
group14087, chromosome-08
group14080, chromosome-12
group14081, chromosome-12
group14082, fragment
group14083, chromosome-08
group14088, plasmid-Rh02
group14089, chromosome-12
group17575, fragment
group17574, fragment
group17577, plasmid-Rh04
group17576, fragment
group17571, plasmid-Rh04
group17570, plasmid-Rh04
group17573, plasmid-Rh03
group17572, fragment
group17579, fragment
group17578, fragment
group16628, chromosome-02
group16629, chromosome-02
group16622, chromosome-02
group16623, chromosome-02
group16620, chromosome-02
group16621, chromosome-02
group16626, chromosome-02
group16627, chromosome-02
group16624, chromosome-02
group16625, chromosome-02
group13052, plasmid-Rh01
group13053, plasmid-Rh01
group13050, plasmid-Rh01
group13051, plasmid-Rh01
group13056, plasmid-Rh01
group13057, plasmid-Rh01
group13054, plasmid-Rh01
group13055, plasmid-Rh01
group13058, plasmid-Rh01
group13059, plasmid-Rh01
group5739-3, fragment
group15934-2, chromosome-04
group12015, fragment
group12014, fragment
group12017, plasmid-Rh06
group12016, fragment
group12011, plasmid-Rh02-circ
group12010, plasmid-Rh01-circ
group12013, fragment
group12012, chromosome-04
group12019, fragment
group12018, plasmid-Rh05
group8567, fragment
group8566, fragment
group8565, fragment
group8564, fragment
group8563, fragment
group8562, fragment
group8561, fragment
group8560, fragment
group8569, fragment
group8568, fragment
group7721-3, fragment
group15548, chromosome-01
group15549, fragment
group15542, chromosome-06
group15543, chromosome-18
group15540, fragment
group15541, chromosome-06
group15546, chromosome-06
group15547, fragment
group15544, plasmid-Rh04
group15545, chromosome-06
group3478, chromosome-00
group3479, chromosome-00
group3470, chromosome-00
group3471, chromosome-00
group3472, chromosome-00
group3473, chromosome-00
group3474, chromosome-00
group3475, chromosome-00
group3476, chromosome-00
group3477, chromosome-00
group9758, chromosome-06
group18880, plasmid-Rh08
group18881, plasmid-Rh08
group18882, plasmid-Rh08
group18883, plasmid-Rh08
group18884, plasmid-Rh08
group18885, plasmid-Rh08
group18886, plasmid-Rh08
group18887, plasmid-Rh08
group18888, plasmid-Rh08
group18889, plasmid-Rh08
group16223-3, chromosome-12
group5935, fragment
group7885, fragment
group5720-2, fragment
group7887, chromosome-00
group7886, fragment
group7881, plasmid-Rh07
group7880, plasmid-Rh05
group7883, fragment
group7882, fragment
group7889, chromosome-12
group7888, fragment
group960, chromosome-01
group961, chromosome-03
group962, chromosome-01
group963, chromosome-06
group964, chromosome-01
group965, chromosome-01
group966, chromosome-03
group967, chromosome-01
group968, chromosome-01
group969, chromosome-00
group10199-2, chromosome-04
group15648, fragment
group11634, fragment
group11635, fragment
group10089-2, plasmid-Rh01+Rh02
group11637, plasmid-Rh02
group11630, fragment
group11631, fragment
group11632, fragment
group11633, fragment
group11638, plasmid-Rh02
group11639, plasmid-Rh02
group18718, chromosome-04
group18719, chromosome-12
group18710, plasmid-Rh01-circ
group18711, plasmid-Rh05
group18712, plasmid-Rh08
group18713, plasmid-Rh08
group18714, plasmid-Rh08
group18715, plasmid-Rh08
group18716, plasmid-Rh08
group18717, chromosome-04
group2460, chromosome-00
group2461, chromosome-00
group2462, chromosome-00
group2463, fragment
group2464, chromosome-00
group2465, chromosome-00
group2466, chromosome-00
group2467, chromosome-00
group2468, chromosome-00
group2469, chromosome-00
group17779, fragment
group17778, fragment
group6845-2, plasmid-Rh01+Rh02
group17773, fragment
group17772, fragment
group17771, fragment
group17770, fragment
group17777, fragment
group17776, fragment
group17775, fragment
group17774, fragment
group9021, chromosome-11
group9020, fragment
group9023, fragment
group9022, chromosome-04
group9025, plasmid-Rh02
group9024, fragment
group9027, fragment
group9026, chromosome-13
group9029, fragment
group9028, fragment
group10279, fragment
group10278, fragment
group10277, plasmid-Rh07
group10276, chromosome-02
group10275, chromosome-02
group10274, chromosome-02
group10273, chromosome-03
group10272, chromosome-03
group10271, chromosome-03
group10270, chromosome-02
group151, chromosome-01
group150, chromosome-01
group153, chromosome-01
group152, chromosome-01
group155, chromosome-01
group154, chromosome-01
group157, chromosome-01
group156, chromosome-01
group159, chromosome-01
group158, chromosome-01
group7140, chromosome-00
group7141, chromosome-00
group7142, chromosome-00
group7143, chromosome-00
group7144, chromosome-00
group7145, plasmid-Rh02+Rh04
group7146, plasmid-Rh01-circu
group7147, plasmid-Rh01-circu
group7148, fragment
group7149, fragment
group12659, plasmid-Rh01+Rh05
group12658, chromosome-01
group2166-2, fragment
group12653, chromosome-01
group12652, chromosome-02
group12651, chromosome-01
group12650, chromosome-01
group12657, chromosome-01
group12656, fragment
group12655, fragment
group12654, chromosome-01
group15388, chromosome-04
group15389, fragment
group15380, chromosome-04
group15381, chromosome-04
group15382, chromosome-01
group15383, chromosome-15
group15384, chromosome-01
group15385, chromosome-01
group15386, chromosome-05
group15387, chromosome-16
group1712-2, plasmid-Rh05
group14163, fragment
group14162, fragment
group14161, fragment
group14160, fragment
group14167, plasmid-Rh03
group14166, fragment
group14165, fragment
group14164, fragment
group14169, fragment
group14168, plasmid-Rh03
group17651, chromosome-01
group11164, fragment
group11165, plasmid-Rh02
group19319, fragment
group4384, chromosome-00
group11160, plasmid-Rh01
group11161, plasmid-Rh01
group11162, plasmid-Rh02
group11163, fragment
group19317, fragment
group11169, chromosome-00
group19315, chromosome-00
group19314, chromosome-00
group10695, chromosome-05
group10694, chromosome-04
group5474, plasmid-Rh02
group10696, fragment
group10691, fragment
group10690, plasmid-Rh01
group10693, chromosome-05
group11099-2, fragment
group10692, chromosome-10
group6955-2, fragment
group6955-3, fragment
group13243, chromosome-22
group13242, chromosome-13
group13241, chromosome-06
group13240, chromosome-08
group13247, chromosome-06
group13246, fragment
group13245, chromosome-07
group13244, chromosome-01
group13249, chromosome-04
group13248, fragment
group1313, chromosome-01
group1312, chromosome-01
group1311, chromosome-01
group1310, chromosome-01
group1317, chromosome-01
group1316, chromosome-01
group1315, chromosome-01
group1314, chromosome-01
group1319, chromosome-01
group1318, chromosome-01
group1673-2, chromosome-00
group8336, chromosome-04
group8337, chromosome-01
group8334, chromosome-01
group8335, chromosome-01
group8332, chromosome-01
group8333, chromosome-01
group8330, fragment
group8331, fragment
group8338, chromosome-01
group8339, chromosome-01
group18260, fragment
group18261, fragment
group18262, fragment
group18263, fragment
group18264, fragment
group18265, fragment
group18266, fragment
group18267, fragment
group18268, fragment
group18269, fragment
group2662, chromosome-04
group2663, chromosome-04
group2660, chromosome-00
group2661, chromosome-00
group2666, chromosome-00
group2667, chromosome-00
group2664, chromosome-00
group2665, chromosome-00
group2668, chromosome-00
group2669, chromosome-00
group12038, plasmid-Rh02
group5128, plasmid-Rh01
group5129, plasmid-Rh01
group5120, plasmid-Rh01
group5121, plasmid-Rh01
group5122, plasmid-Rh01
group5123, plasmid-Rh01
group5124, plasmid-Rh01
group5125, plasmid-Rh01
group5126, plasmid-Rh01
group5127, plasmid-Rh01
group11038-2, chromosome-03
group3209, chromosome-00
group3208, chromosome-00
group3203, chromosome-00
group3202, chromosome-00
group3201, chromosome-00
group3200, chromosome-00
group3207, chromosome-00
group3206, chromosome-00
group3205, chromosome-00
group3204, chromosome-00
group8955-2, chromosome-08
group7438, chromosome-00
group7439, chromosome-00
group1811, chromosome-01
group7430, plasmid-Rh15
group7431, plasmid-Rh06
group7432, plasmid-Rh15
group7433, plasmid-Rh15
group7434, plasmid-Rh15
group7435, chromosome-01
group7436, plasmid-Rh02
group7437, chromosome-13
group1817, chromosome-01
group1878, chromosome-01
group1879, chromosome-01
group1876, chromosome-01
group1877, chromosome-01
group1874, chromosome-01
group1875, chromosome-01
group1872, chromosome-01
group1873, chromosome-01
group1870, chromosome-01
group1871, chromosome-01
group4310, chromosome-00
group4311, chromosome-00
group4312, chromosome-00
group4313, chromosome-00
group4314, chromosome-00
group4315, chromosome-00
group4316, chromosome-00
group4317, chromosome-00
group4318, chromosome-00
group4319, chromosome-00
group10844, fragment
group10845, fragment
group10846, plasmid-Rh07
group10847, fragment
group10840, fragment
group10841, fragment
group10842, fragment
group10843, fragment
group10848, chromosome-00
group10849, plasmid-Rh02
group19678, chromosome-03
group19679, chromosome-03
group11467, chromosome-01
group11466, chromosome-01
group11461, chromosome-01
group11460, chromosome-01
group11463, chromosome-01
group11462, chromosome-01
group19670, chromosome-01
group19671, chromosome-01
group19672, chromosome-01
group19673, chromosome-03
group19674, chromosome-03
group19675, chromosome-03
group19676, chromosome-03
group19677, chromosome-03
group10598, fragment
group10599, fragment
group10596, plasmid-Rh03
group10597, plasmid-Rh01
group10594, fragment
group10595, fragment
group10592, chromosome-00
group10593, chromosome-00
group10590, chromosome-00
group10591, chromosome-00
group4332, chromosome-00
group4333, chromosome-00
group14385, chromosome-27
group14384, chromosome-12
group4336, chromosome-00
group4337, fragment
group6945-2, plasmid-Rh01
group14381, chromosome-09
group14380, fragment
group17108, chromosome-05
group17109, chromosome-05
group10338, chromosome-05
group10339, chromosome-00
group10332, chromosome-05
group10333, chromosome-05
group10330, chromosome-05
group17103, chromosome-05
group10336, chromosome-00
group10337, chromosome-05
group10334, chromosome-00
group10335, chromosome-00
group18109, chromosome-04
group18108, fragment
group18101, plasmid-Rh07
group18100, fragment
group18103, chromosome-00
group18102, chromosome-00
group18105, plasmid-Rh02
group18104, plasmid-Rh02
group18107, fragment
group18106, plasmid-Rh03
group16859, plasmid-Rh04
group16858, plasmid-Rh04
group16855, plasmid-Rh04
group16854, plasmid-Rh04
group16857, plasmid-Rh04
group16856, plasmid-Rh04
group16851, plasmid-Rh02
group16850, plasmid-Rh02
group16853, plasmid-Rh04
group16852, plasmid-Rh04
group2597-2, plasmid-Rh02
group20278, fragment
group20279, fragment
group20270, fragment
group20271, fragment
group20272, fragment
group20273, fragment
group20274, fragment
group20275, fragment
group20276, fragment
group20277, fragment
group131-6, chromosome-07
group131-5, chromosome-01
group131-4, chromosome-00
group131-3, chromosome-02
group131-2, chromosome-01
group11085-2, fragment
group16279, chromosome-01
group16278, chromosome-01
group16271, plasmid-Rh08
group16270, fragment
group16273, chromosome-04
group16272, chromosome-04
group16275, chromosome-01
group16274, chromosome-03
group16277, chromosome-05
group16276, chromosome-01
group9270, chromosome-01
group9271, chromosome-01
group9272, plasmid-Rh02
group9273, chromosome-02
group9274, chromosome-01
group9275, chromosome-01
group9276, chromosome-04
group9277, chromosome-04
group9278, plasmid-Rh02
group9279, chromosome-27
group6420, chromosome-00
group6421, chromosome-00
group6422, chromosome-00
group6423, chromosome-00
group6424, chromosome-00
group6425, chromosome-00
group6426, chromosome-00
group6427, chromosome-00
group6428, chromosome-00
group6429, chromosome-00
group13739, fragment
group13738, fragment
group13733, fragment
group13732, fragment
group13731, fragment
group13730, fragment
group13737, chromosome-04
group13736, fragment
group13735, plasmid-Rh01
group13734, chromosome-19
group15779, fragment
group15778, fragment
group15775, fragment
group15774, fragment
group15777, plasmid-Rh03
group15776, chromosome-13
group15771, chromosome-10
group15770, fragment
group15773, fragment
group15772, fragment
group15199, plasmid-Rh03
group15198, plasmid-Rh03
group15191, plasmid-Rh03
group15190, plasmid-Rh03
group15193, plasmid-Rh03
group15192, plasmid-Rh03
group15195, plasmid-Rh03
group15194, plasmid-Rh03
group15197, fragment
group15196, plasmid-Rh03
group14822, fragment
group14823, fragment
group14820, fragment
group14821, chromosome-00
group14826, plasmid-Rh07
group14827, fragment
group14824, fragment
group14825, fragment
group14828, fragment
group14829, plasmid-Rh02+Rh04
group17845, chromosome-11
group17844, chromosome-04
group17847, plasmid-Rh01
group17846, chromosome-00
group17841, chromosome-00
group17840, chromosome-06
group17843, chromosome-04
group17842, chromosome-00
group415-2, plasmid-Rh01-circ
group17849, chromosome-05
group17848, plasmid-Rh02
group1223, chromosome-01
group1222, chromosome-01
group1221, chromosome-01
group1220, chromosome-01
group1227, chromosome-01
group1226, chromosome-01
group1225, chromosome-01
group1224, chromosome-01
group1229, chromosome-01
group1228, chromosome-01
group4152, chromosome-00
group4153, chromosome-00
group4150, chromosome-00
group4151, chromosome-00
group4156, chromosome-00
group4157, chromosome-00
group4154, chromosome-00
group4155, chromosome-00
group4158, chromosome-00
group4159, chromosome-00
group86, chromosome-01
group87, chromosome-01
group84, chromosome-01
group85, chromosome-01
group82, chromosome-01
group8812, plasmid-Rh02-circular
group80, chromosome-01
group81, chromosome-01
group8819, fragment
group89, chromosome-01
group19478, plasmid-Rh03
group19479, fragment
group19476, plasmid-Rh01
group19477, fragment
group19474, chromosome-00
group19475, chromosome-00
group19472, chromosome-00
group19473, chromosome-00
group19470, chromosome-00
group19471, chromosome-00
group9259-2, chromosome-01
group5685, plasmid-Rh02
group5684, plasmid-Rh02
group5687, plasmid-Rh02
group5686, plasmid-Rh02
group5681, plasmid-Rh02
group5680, fragment
group5683, plasmid-Rh02
group5682, plasmid-Rh02
group1508, chromosome-01
group1509, chromosome-01
group5689, plasmid-Rh02
group5688, plasmid-Rh02
group4488, chromosome-00
group4489, chromosome-00
group4480, chromosome-00
group4481, chromosome-00
group4482, chromosome-00
group4483, chromosome-00
group4484, chromosome-00
group4485, chromosome-00
group4486, chromosome-00
group4487, chromosome-00
group8109, plasmid-Rh02-circ
group8108, plasmid-Rh04-circ
group5359, plasmid-Rh02
group5358, plasmid-Rh02
group9294-2, fragment
group5353, plasmid-Rh02
group5352, plasmid-Rh02
group5351, plasmid-Rh02
group8102, fragment
group8105, chromosome-11
group8104, chromosome-04
group5355, plasmid-Rh02
group5354, plasmid-Rh02
group11202-2, plasmid-Rh13
group20976, plasmid-Rh02
group17971, chromosome-01
group18028, plasmid-Rh01-circula
group20078, chromosome-02
group20079, chromosome-02
group20076, chromosome-00
group20077, chromosome-02
group20074, fragment
group20075, fragment
group20072, fragment
group20073, fragment
group20070, fragment
group20071, fragment
group3908, chromosome-00
group3909, fragment
group3900, chromosome-00
group3901, chromosome-00
group3902, fragment
group3903, chromosome-00
group3904, chromosome-00
group3905, chromosome-00
group3906, chromosome-00
group3907, chromosome-00
group17973, chromosome-01
group2369, chromosome-01
group2368, chromosome-01
group8068, chromosome-04
group2363, chromosome-01
group2362, chromosome-01
group2361, chromosome-01
group2360, chromosome-01
group2367, chromosome-01
group2366, chromosome-01
group2365, chromosome-01
group2364, chromosome-01
group9472, plasmid-Rh03
group9473, fragment
group9470, chromosome-02
group9471, chromosome-03
group9476, chromosome-01
group9477, chromosome-06
group9474, fragment
group9475, chromosome-01
group9478, plasmid-Rh01-circula
group9479, plasmid-Rh03
group17975, plasmid-Rh02
group6622, plasmid-Rh02
group6623, plasmid-Rh02
group6620, chromosome-00
group6621, plasmid-Rh02
group6626, plasmid-Rh02
group6627, plasmid-Rh02
group6624, plasmid-Rh02
group6625, plasmid-Rh02
group6628, plasmid-Rh02
group6629, plasmid-Rh02
group17974, chromosome-01
group19995, plasmid-Rh02-circul
group19994, plasmid-Rh02-circul
group19997, plasmid-Rh02-circul
group19996, plasmid-Rh02-circul
group19991, fragment
group19990, fragment
group19993, plasmid-Rh02-circul
group19992, chromosome-04
group19999, plasmid-Rh02-circul
group19998, plasmid-Rh02-circul
group20928, fragment
group20929, chromosome-01
group17976, chromosome-01
group20924, plasmid-Rh02+Rh03
group20925, chromosome-01
group20926, chromosome-08
group20927, chromosome-01
group20920, plasmid-Rh02+Rh03
group20921, plasmid-Rh02+Rh03
group20922, plasmid-Rh02+Rh03
group20923, plasmid-Rh02+Rh03
group3018, chromosome-00
group3019, chromosome-00
group3012, chromosome-00
group3013, chromosome-00
group3010, chromosome-00
group3011, chromosome-00
group3016, chromosome-00
group3017, chromosome-00
group3014, chromosome-00
group3015, chromosome-00
group6998, fragment
group6999, chromosome-01
group6990, fragment
group6991, fragment
group6992, fragment
group6993, fragment
group6994, fragment
group6995, fragment
group6996, fragment
group6997, fragment
group6241-3, fragment
group6364-2, fragment
group14668, fragment
group14669, fragment
group14660, fragment
group14661, fragment
group14662, fragment
group14663, fragment
group14664, fragment
group14665, fragment
group14666, fragment
group14667, fragment
group17319, chromosome-00
group17318, fragment
group17311, chromosome-08
group17310, plasmid-Rh01+Rh07
group17313, chromosome-12
group17312, chromosome-12
group17315, plasmid-Rh03
group17314, plasmid-Rh03
group17317, chromosome-00
group17316, plasmid-Rh03
group9261-2, chromosome-01
group5524, plasmid-Rh02
group12369, chromosome-01
group12368, chromosome-01
group12363, chromosome-05
group12362, chromosome-05
group12361, chromosome-05
group12360, chromosome-05
group12367, chromosome-01
group12366, chromosome-01
group12365, fragment
group12364, fragment
group5525, plasmid-Rh02
group5526, plasmid-Rh02
group12099, chromosome-06
group12098, chromosome-00
group12095, chromosome-00
group12094, fragment
group12097, chromosome-25
group12096, chromosome-00
group12091, fragment
group12090, fragment
group12093, chromosome-04
group12092, chromosome-01
group5527, plasmid-Rh02
group5520, plasmid-Rh02
group5521, plasmid-Rh02
group13948, plasmid-Rh01+Rh03
group13949, chromosome-22
group13940, fragment
group13941, fragment
group13942, fragment
group13943, fragment
group13944, chromosome-00
group13945, chromosome-00
group13946, chromosome-08
group13947, chromosome-27
group5523, plasmid-Rh02
group11129-2, plasmid-Rh02
group11129-3, plasmid-Rh01
group6074-2, plasmid-Rh04
group15101, plasmid-Rh01
group6998-2, fragment
group8180-3, fragment
group8743, chromosome-01
group8742, fragment
group8741, plasmid-Rh02
group3485, chromosome-00
group3484, chromosome-00
group3487, chromosome-00
group3486, chromosome-00
group3481, chromosome-00
group8740, plasmid-Rh02
group3480, chromosome-00
group3483, chromosome-00
group3482, chromosome-00
group7809, fragment
group7808, chromosome-06
group7805, fragment
group7804, fragment
group7807, chromosome-01
group7806, fragment
group7801, chromosome-02
group7800, fragment
group7803, plasmid-Rh04
group7802, chromosome-05
group8746, chromosome-01
group1737-2, chromosome-03
group2972, chromosome-00
group2973, chromosome-00
group2970, chromosome-00
group2971, chromosome-00
group2976, chromosome-00
group2977, chromosome-00
group2974, chromosome-00
group2975, chromosome-00
group2978, chromosome-00
group2979, chromosome-00
group4725, chromosome-00
group4724, chromosome-00
group4727, chromosome-00
group4726, chromosome-00
group4721, chromosome-00
group4720, chromosome-00
group4723, chromosome-00
group4722, chromosome-00
group4729, chromosome-00
group4728, chromosome-00
group8606, fragment
group8607, chromosome-01
group8604, plasmid-Rh01
group8605, plasmid-Rh02
group8602, chromosome-03
group8603, chromosome-01
group8600, chromosome-01
group8601, chromosome-01
group5979-2, chromosome-03
group8608, chromosome-01
group8609, chromosome-01
group10149, chromosome-00
group10148, fragment
